________________________________________________________________________________
Marvellous Infosystems Process Logger : Thu Jun  6 22:04:52 2024
________________________________________________________________________________

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'Widgets.exe', 'pid': 11796, 'username': 'MAHESH\\mahes', 'vms': 9.40234375}
{'name': 'RuntimeBroker.exe', 'pid': 11904, 'username': 'MAHESH\\mahes', 'vms': 4.6953125}
{'name': 'RuntimeBroker.exe', 'pid': 11976, 'username': 'MAHESH\\mahes', 'vms': 6.328125}
{'name': 'WidgetService.exe', 'pid': 12072, 'username': 'MAHESH\\mahes', 'vms': 4.8671875}
{'name': 'AsusSoftwareManagerAgent.exe', 'pid': 12124, 'username': 'MAHESH\\mahes', 'vms': 37.5390625}
{'name': 'cmd.exe', 'pid': 12160, 'username': 'MAHESH\\mahes', 'vms': 1.890625}
{'name': 'svchost.exe', 'pid': 12176, 'username': 'MAHESH\\mahes', 'vms': 1.36328125}
{'name': 'conhost.exe', 'pid': 12252, 'username': 'MAHESH\\mahes', 'vms': 1.26171875}
{'name': 'asus_framework.exe', 'pid': 12412, 'username': 'MAHESH\\mahes', 'vms': 51.32421875}
{'name': 'dllhost.exe', 'pid': 12472, 'username': 'MAHESH\\mahes', 'vms': 6.6796875}
{'name': 'svchost.exe', 'pid': 12644, 'username': None, 'vms': 2.5}
{'name': 'chrome.exe', 'pid': 12668, 'username': 'MAHESH\\mahes', 'vms': 16.0078125}
{'name': 'AsusOSD.exe', 'pid': 12688, 'username': 'MAHESH\\mahes', 'vms': 5.26953125}
{'name': 'conhost.exe', 'pid': 12792, 'username': 'MAHESH\\mahes', 'vms': 5.73828125}
{'name': 'mc-extn-browserhost.exe', 'pid': 12796, 'username': 'MAHESH\\mahes', 'vms': 4.4921875}
{'name': 'svchost.exe', 'pid': 12840, 'username': None, 'vms': 2.21484375}
{'name': 'WmiPrvSE.exe', 'pid': 12956, 'username': None, 'vms': 4.7265625}
{'name': 'ArmouryCrate.exe', 'pid': 13028, 'username': 'MAHESH\\mahes', 'vms': 61.84375}
{'name': 'ctfmon.exe', 'pid': 13224, 'username': 'MAHESH\\mahes', 'vms': 8.51953125}
{'name': 'msedge.exe', 'pid': 13484, 'username': 'MAHESH\\mahes', 'vms': 46.51171875}
{'name': 'chrome.exe', 'pid': 13612, 'username': 'MAHESH\\mahes', 'vms': 11.4375}
{'name': 'ApplicationFrameHost.exe', 'pid': 13660, 'username': 'MAHESH\\mahes', 'vms': 21.890625}
{'name': 'svchost.exe', 'pid': 13676, 'username': None, 'vms': 2.046875}
{'name': 'Code.exe', 'pid': 13776, 'username': 'MAHESH\\mahes', 'vms': 81.07421875}
{'name': 'python.exe', 'pid': 13856, 'username': 'MAHESH\\mahes', 'vms': 14.609375}
{'name': 'chrome.exe', 'pid': 14220, 'username': 'MAHESH\\mahes', 'vms': 18.9921875}
{'name': 'RtkAudUService64.exe', 'pid': 14496, 'username': 'MAHESH\\mahes', 'vms': 4.90234375}
{'name': 'AutoConnectHelper.exe', 'pid': 14524, 'username': 'MAHESH\\mahes', 'vms': 32.22265625}
{'name': 'msedgewebview2.exe', 'pid': 14600, 'username': 'MAHESH\\mahes', 'vms': 10.0703125}
{'name': 'OneDrive.exe', 'pid': 14684, 'username': 'MAHESH\\mahes', 'vms': 756.6015625}
{'name': 'chrome.exe', 'pid': 14708, 'username': 'MAHESH\\mahes', 'vms': 26.1328125}
{'name': 'git.exe', 'pid': 14852, 'username': 'MAHESH\\mahes', 'vms': 52.55078125}
{'name': 'RuntimeBroker.exe', 'pid': 14984, 'username': 'MAHESH\\mahes', 'vms': 4.94921875}
{'name': 'svchost.exe', 'pid': 15096, 'username': None, 'vms': 4.81640625}
{'name': 'msedge.exe', 'pid': 15112, 'username': 'MAHESH\\mahes', 'vms': 19.421875}
{'name': 'Code.exe', 'pid': 15144, 'username': 'MAHESH\\mahes', 'vms': 13.84375}
{'name': 'SystemSettingsBroker.exe', 'pid': 15208, 'username': 'MAHESH\\mahes', 'vms': 9.1328125}
{'name': 'msedgewebview2.exe', 'pid': 15248, 'username': 'MAHESH\\mahes', 'vms': 52.0625}
{'name': 'chrome.exe', 'pid': 15348, 'username': 'MAHESH\\mahes', 'vms': 6.36328125}
{'name': 'chrome.exe', 'pid': 15404, 'username': 'MAHESH\\mahes', 'vms': 25.65625}
{'name': 'msedgewebview2.exe', 'pid': 15436, 'username': 'MAHESH\\mahes', 'vms': 32.58984375}
{'name': 'Code.exe', 'pid': 15776, 'username': 'MAHESH\\mahes', 'vms': 154.72265625}
{'name': 'msedge.exe', 'pid': 15876, 'username': 'MAHESH\\mahes', 'vms': 79.17578125}
{'name': 'msedge.exe', 'pid': 15912, 'username': 'MAHESH\\mahes', 'vms': 2.203125}
{'name': 'msedge.exe', 'pid': 16096, 'username': 'MAHESH\\mahes', 'vms': 92.2421875}
{'name': 'msedge.exe', 'pid': 16124, 'username': 'MAHESH\\mahes', 'vms': 18.7734375}
{'name': 'msedge.exe', 'pid': 16140, 'username': 'MAHESH\\mahes', 'vms': 7.234375}
{'name': 'Code.exe', 'pid': 16320, 'username': 'MAHESH\\mahes', 'vms': 59.33984375}
{'name': 'msedge.exe', 'pid': 16424, 'username': 'MAHESH\\mahes', 'vms': 7.1640625}
{'name': 'Code.exe', 'pid': 16480, 'username': 'MAHESH\\mahes', 'vms': 21.68359375}
{'name': 'Code.exe', 'pid': 16552, 'username': 'MAHESH\\mahes', 'vms': 28.5390625}
{'name': 'Code.exe', 'pid': 16632, 'username': 'MAHESH\\mahes', 'vms': 15.99609375}
{'name': 'Code.exe', 'pid': 16692, 'username': 'MAHESH\\mahes', 'vms': 46.74609375}
{'name': 'Code.exe', 'pid': 16756, 'username': 'MAHESH\\mahes', 'vms': 186.82421875}
{'name': 'chrome.exe', 'pid': 17048, 'username': 'MAHESH\\mahes', 'vms': 12.4375}
{'name': 'Code.exe', 'pid': 17116, 'username': 'MAHESH\\mahes', 'vms': 31.18359375}
{'name': 'CodeSetup-stable-89de5a8d4d6205e5b11647eb6a74844ca23d2573.tmp', 'pid': 17416, 'username': 'MAHESH\\mahes', 'vms': 22.22265625}
{'name': 'svchost.exe', 'pid': 17748, 'username': None, 'vms': 5.0390625}
{'name': 'svchost.exe', 'pid': 17876, 'username': 'MAHESH\\mahes', 'vms': 1.6484375}
{'name': 'LocationNotificationWindows.exe', 'pid': 17896, 'username': 'MAHESH\\mahes', 'vms': 1.796875}
{'name': 'AnyDesk.exe', 'pid': 17908, 'username': 'MAHESH\\mahes', 'vms': 28.98046875}
{'name': 'msedgewebview2.exe', 'pid': 17920, 'username': 'MAHESH\\mahes', 'vms': 2.15234375}
{'name': 'svchost.exe', 'pid': 17924, 'username': None, 'vms': 1.734375}
{'name': 'ONENOTEM.EXE', 'pid': 17940, 'username': 'MAHESH\\mahes', 'vms': 3.53125}
{'name': 'OfficeC2RClient.exe', 'pid': 17952, 'username': None, 'vms': 8.5546875}
{'name': 'TiWorker.exe', 'pid': 18068, 'username': None, 'vms': 2.8671875}
{'name': 'conhost.exe', 'pid': 18088, 'username': 'MAHESH\\mahes', 'vms': 5.73046875}
{'name': 'powershell.exe', 'pid': 18140, 'username': 'MAHESH\\mahes', 'vms': 49.59375}
{'name': 'Code.exe', 'pid': 18176, 'username': 'MAHESH\\mahes', 'vms': 301.2734375}
{'name': 'Code.exe', 'pid': 18264, 'username': 'MAHESH\\mahes', 'vms': 123.18359375}
{'name': 'svchost.exe', 'pid': 18268, 'username': 'MAHESH\\mahes', 'vms': 2.75390625}
{'name': 'CodeSetup-stable-89de5a8d4d6205e5b11647eb6a74844ca23d2573.exe', 'pid': 18284, 'username': 'MAHESH\\mahes', 'vms': 7.12109375}
{'name': 'conhost.exe', 'pid': 18352, 'username': 'MAHESH\\mahes', 'vms': 1.2890625}
